"Smarter Balanced Assessments, 2018-19"
"State of Connecticut, ELA and Math, All Grades, All Students"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","Grade","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"State of Connecticut",03,"ELA",36739,36521,99.4,36512,8569,23.5,8124,22.3,8542,23.4,11277,30.9,19819,54.3,2437
"State of Connecticut",03,"Math",36723,36467,99.3,36454,8601,23.6,7790,21.4,10554,29.0,9509,26.1,20063,55.0,2443
"State of Connecticut",04,"ELA",37990,37738,99.3,37724,10493,27.8,6642,17.6,8621,22.9,11968,31.7,20589,54.6,2478
"State of Connecticut",04,"Math",37974,37680,99.2,37672,7535,20.0,10376,27.5,10330,27.4,9431,25.0,19761,52.5,2486
"State of Connecticut",05,"ELA",38893,38609,99.3,38599,9229,23.9,6931,18.0,11577,30.0,10862,28.1,22439,58.1,2516
"State of Connecticut",05,"Math",38875,38525,99.1,38509,10731,27.9,9860,25.6,7673,19.9,10245,26.6,17918,46.5,2513
"State of Connecticut",06,"ELA",40016,39599,99.0,39586,8350,21.1,9364,23.7,13033,32.9,8839,22.3,21872,55.3,2538
"State of Connecticut",06,"Math",39998,39509,98.8,39487,10774,27.3,10799,27.3,8344,21.1,9570,24.2,17914,45.4,2530
"State of Connecticut",07,"ELA",39669,39177,98.8,39161,8856,22.6,8326,21.3,13673,34.9,8306,21.2,21979,56.1,2560
"State of Connecticut",07,"Math",39648,39017,98.4,38999,11402,29.2,9600,24.6,8568,22.0,9429,24.2,17997,46.1,2547
"State of Connecticut",08,"ELA",40186,39381,98.0,39370,8560,21.7,8846,22.5,14037,35.7,7927,20.1,21964,55.8,2574
"State of Connecticut",08,"Math",40176,39236,97.7,39213,13202,33.7,8944,22.8,7545,19.2,9522,24.3,17067,43.5,2558

